InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalSales
500154,P005,Webcam,3,2023-07-11,49.99,10417,Germany,149.97
500155,P003,USB-C Cable,1,2023-01-17,9.99,10353,France,9.99
500156,P002,Mechanical Keyboard,4,2023-08-08,79.99,10456,United Kingdom,319.96
500157,P008,Bluetooth Speaker,5,2023-02-15,39.99,10443,Switzerland,199.95000000000002
500158,P002,Mechanical Keyboard,5,2023-01-06,79.99,10494,Germany,399.95
500159,P007,Portable SSD,3,2023-08-21,99.99,10050,France,299.96999999999997
500160,P002,Mechanical Keyboard,5,2023-10-07,79.99,10059,Netherlands,399.95
500161,P001,Wireless Mouse,5,2023-10-29,15.99,10058,United Kingdom,79.95
500162,P003,USB-C Cable,5,2023-04-05,9.99,10286,Netherlands,49.95
500163,P007,Portable SSD,3,2023-07-07,99.99,10064,France,299.96999999999997
500164,P007,Portable SSD,1,2023-04-26,99.99,10458,Belgium,99.99
500165,P003,USB-C Cable,5,2023-06-10,9.99,10185,United Kingdom,49.95
500166,P006,Noise Cancelling Headphones,3,2023-05-08,129.99,10308,France,389.97
500167,P003,USB-C Cable,2,2023-10-08,9.99,10380,France,19.98
500168,P008,Bluetooth Speaker,2,2023-08-11,39.99,10499,Switzerland,79.98
500169,P008,Bluetooth Speaker,2,2023-11-19,39.99,10035,Switzerland,79.98
500170,P005,Webcam,2,2023-10-15,49.99,10000,Belgium,99.98
500171,P008,Bluetooth Speaker,2,2023-05-07,39.99,10079,France,79.98
500172,P006,Noise Cancelling Headphones,3,2023-09-30,129.99,10499,Switzerland,389.97
500173,P004,Laptop Stand,1,2023-10-26,29.99,10118,Belgium,29.99
500174,P008,Bluetooth Speaker,5,2023-06-19,39.99,10112,Germany,199.95000000000002
500175,P002,Mechanical Keyboard,2,2023-12-21,79.99,10116,Spain,159.98
500176,P003,USB-C Cable,2,2023-01-13,9.99,10266,Switzerland,19.98
500177,P002,Mechanical Keyboard,4,2023-11-09,79.99,10228,Switzerland,319.96
500178,P003,USB-C Cable,4,2023-06-22,9.99,10085,Switzerland,39.96
500179,P008,Bluetooth Speaker,4,2023-11-17,39.99,10036,Spain,159.96
500180,P006,Noise Cancelling Headphones,4,2023-05-23,129.99,10277,Switzerland,519.96
500181,P002,Mechanical Keyboard,4,2023-12-20,79.99,10448,Germany,319.96
500182,P004,Laptop Stand,2,2023-10-15,29.99,10403,Germany,59.98
500183,P006,Noise Cancelling Headphones,3,2023-06-02,129.99,10465,Belgium,389.97
500184,P008,Bluetooth Speaker,2,2023-03-04,39.99,10402,Switzerland,79.98
500185,P008,Bluetooth Speaker,5,2023-05-30,39.99,10199,Netherlands,199.95000000000002
500186,P003,USB-C Cable,2,2023-02-27,9.99,10473,Italy,19.98
500187,P006,Noise Cancelling Headphones,1,2023-06-29,129.99,10302,France,129.99
500188,P008,Bluetooth Speaker,2,2023-11-22,39.99,10232,Belgium,79.98
500189,P005,Webcam,3,2023-04-11,49.99,10392,Germany,149.97
500190,P006,Noise Cancelling Headphones,1,2023-09-21,129.99,10201,Germany,129.99
500191,P001,Wireless Mouse,5,2023-03-01,15.99,10107,Germany,79.95
500192,P001,Wireless Mouse,4,2023-04-18,15.99,10169,United Kingdom,63.96
500193,P005,Webcam,5,2023-04-13,49.99,10171,United Kingdom,249.95000000000002
500194,P004,Laptop Stand,4,2023-09-19,29.99,10195,Belgium,119.96
500195,P003,USB-C Cable,5,2023-12-16,9.99,10100,United Kingdom,49.95
500196,P006,Noise Cancelling Headphones,3,2023-11-07,129.99,10047,United Kingdom,389.97
500197,P002,Mechanical Keyboard,4,2023-05-24,79.99,10333,Spain,319.96
500198,P002,Mechanical Keyboard,5,2023-05-04,79.99,10079,Switzerland,399.95
500199,P003,USB-C Cable,2,2023-06-07,9.99,10322,Belgium,19.98
500200,P004,Laptop Stand,3,2023-05-25,29.99,10164,Italy,89.97
500201,P004,Laptop Stand,3,2023-04-02,29.99,10044,Spain,89.97
500202,P008,Bluetooth Speaker,2,2023-12-12,39.99,10355,Netherlands,79.98
500203,P003,USB-C Cable,5,2023-04-27,9.99,10097,Belgium,49.95
500204,P007,Portable SSD,1,2023-05-09,99.99,10132,Italy,99.99
500205,P002,Mechanical Keyboard,2,2023-05-02,79.99,10201,United Kingdom,159.98
500206,P008,Bluetooth Speaker,1,2023-08-27,39.99,10186,France,39.99
500207,P004,Laptop Stand,2,2023-04-06,29.99,10074,United Kingdom,59.98
500208,P001,Wireless Mouse,1,2023-08-25,15.99,10255,Italy,15.99
500209,P003,USB-C Cable,5,2023-09-29,9.99,10151,Netherlands,49.95
500210,P007,Portable SSD,5,2023-07-11,99.99,10054,Italy,499.95
500211,P008,Bluetooth Speaker,5,2023-10-05,39.99,10088,Netherlands,199.95000000000002
500212,P002,Mechanical Keyboard,5,2023-09-04,79.99,10244,Switzerland,399.95
500213,P002,Mechanical Keyboard,3,2023-03-17,79.99,10236,United Kingdom,239.96999999999997
500214,P008,Bluetooth Speaker,2,2023-05-24,39.99,10366,Netherlands,79.98
500215,P005,Webcam,3,2023-03-27,49.99,10429,France,149.97
500216,P001,Wireless Mouse,1,2023-10-12,15.99,10230,Switzerland,15.99
500217,P005,Webcam,4,2023-03-10,49.99,10499,Belgium,199.96
500218,P007,Portable SSD,1,2023-04-04,99.99,10055,France,99.99
500219,P007,Portable SSD,4,2023-07-23,99.99,10142,Spain,399.96
500220,P002,Mechanical Keyboard,2,2023-12-07,79.99,10144,Belgium,159.98
500221,P007,Portable SSD,4,2023-10-16,99.99,10249,Spain,399.96
500222,P007,Portable SSD,5,2023-01-23,99.99,10211,United Kingdom,499.95
500223,P004,Laptop Stand,2,2023-01-10,29.99,10136,Germany,59.98
500224,P006,Noise Cancelling Headphones,5,2023-04-10,129.99,10451,Spain,649.95
500225,P007,Portable SSD,2,2023-06-29,99.99,10406,Netherlands,199.98
500226,P001,Wireless Mouse,2,2023-09-07,15.99,10230,United Kingdom,31.98
500227,P007,Portable SSD,3,2023-04-06,99.99,10295,France,299.96999999999997
500228,P008,Bluetooth Speaker,1,2023-11-21,39.99,10435,Spain,39.99
500229,P006,Noise Cancelling Headphones,5,2023-01-04,129.99,10107,Italy,649.95
500230,P007,Portable SSD,2,2023-06-09,99.99,10018,United Kingdom,199.98
500231,P008,Bluetooth Speaker,3,2023-12-06,39.99,10480,Switzerland,119.97
500232,P001,Wireless Mouse,4,2023-06-27,15.99,10234,Germany,63.96
500233,P008,Bluetooth Speaker,3,2023-02-02,39.99,10282,Belgium,119.97
500234,P006,Noise Cancelling Headphones,1,2023-06-28,129.99,10207,France,129.99
500235,P005,Webcam,3,2023-04-11,49.99,10171,Italy,149.97
500236,P001,Wireless Mouse,4,2023-11-19,15.99,10036,Netherlands,63.96
500237,P007,Portable SSD,1,2023-06-17,99.99,10264,United Kingdom,99.99
500238,P006,Noise Cancelling Headphones,2,2023-02-12,129.99,10239,Netherlands,259.98
500239,P008,Bluetooth Speaker,4,2023-10-12,39.99,10019,France,159.96
500240,P006,Noise Cancelling Headphones,5,2023-01-12,129.99,10401,United Kingdom,649.95
500241,P007,Portable SSD,2,2023-09-10,99.99,10088,Italy,199.98
500242,P008,Bluetooth Speaker,3,2023-08-30,39.99,10081,France,119.97
500243,P003,USB-C Cable,3,2023-08-03,9.99,10499,France,29.97
500244,P008,Bluetooth Speaker,1,2023-03-31,39.99,10362,Italy,39.99
500245,P002,Mechanical Keyboard,5,2023-03-31,79.99,10008,United Kingdom,399.95
500246,P008,Bluetooth Speaker,2,2023-04-25,39.99,10039,Italy,79.98
500247,P003,USB-C Cable,1,2023-07-15,9.99,10259,Switzerland,9.99
500248,P001,Wireless Mouse,2,2023-04-24,15.99,10425,Netherlands,31.98
500249,P008,Bluetooth Speaker,5,2023-03-16,39.99,10320,Italy,199.95000000000002
500250,P004,Laptop Stand,5,2023-08-05,29.99,10114,Belgium,149.95
500251,P001,Wireless Mouse,5,2023-09-06,15.99,10222,Belgium,79.95
500252,P002,Mechanical Keyboard,4,2023-12-23,79.99,10448,Spain,319.96
500253,P007,Portable SSD,1,2023-07-11,99.99,10117,Spain,99.99
500254,P001,Wireless Mouse,3,2023-06-26,15.99,10208,Switzerland,47.97
500255,P001,Wireless Mouse,3,2023-02-05,15.99,10339,Germany,47.97
500256,P005,Webcam,2,2023-04-06,49.99,10215,Netherlands,99.98
500257,P001,Wireless Mouse,5,2023-09-25,15.99,10010,Germany,79.95
500258,P006,Noise Cancelling Headphones,1,2023-07-02,129.99,10370,United Kingdom,129.99
500259,P006,Noise Cancelling Headphones,5,2023-10-06,129.99,10441,United Kingdom,649.95
500260,P004,Laptop Stand,1,2023-12-21,29.99,10260,United Kingdom,29.99
500261,P005,Webcam,1,2023-10-13,49.99,10386,Spain,49.99
500262,P001,Wireless Mouse,1,2023-03-03,15.99,10037,Italy,15.99
500263,P008,Bluetooth Speaker,4,2023-08-05,39.99,10493,Switzerland,159.96
500264,P004,Laptop Stand,5,2023-07-06,29.99,10190,France,149.95
500265,P004,Laptop Stand,3,2023-06-26,29.99,10296,Italy,89.97
500266,P005,Webcam,4,2023-08-21,49.99,10070,Netherlands,199.96
500267,P006,Noise Cancelling Headphones,3,2023-03-17,129.99,10063,Italy,389.97
500268,P004,Laptop Stand,1,2023-10-11,29.99,10299,Switzerland,29.99
500269,P003,USB-C Cable,4,2023-12-05,9.99,10130,Germany,39.96
500270,P005,Webcam,2,2023-05-24,49.99,10378,Italy,99.98
500271,P007,Portable SSD,5,2023-03-10,99.99,10283,Spain,499.95
500272,P008,Bluetooth Speaker,3,2023-01-25,39.99,10010,United Kingdom,119.97
500273,P004,Laptop Stand,4,2023-02-22,29.99,10051,Switzerland,119.96
500274,P003,USB-C Cable,1,2023-02-08,9.99,10128,Switzerland,9.99
500275,P005,Webcam,5,2023-06-30,49.99,10111,Germany,249.95000000000002
500276,P005,Webcam,2,2023-07-05,49.99,10399,Netherlands,99.98
500277,P007,Portable SSD,2,2023-05-13,99.99,10256,France,199.98
500278,P001,Wireless Mouse,3,2023-08-03,15.99,10375,France,47.97
500279,P006,Noise Cancelling Headphones,5,2023-08-23,129.99,10146,France,649.95
500280,P005,Webcam,3,2023-05-26,49.99,10345,Italy,149.97
500281,P006,Noise Cancelling Headphones,4,2023-01-09,129.99,10357,Belgium,519.96
500282,P005,Webcam,2,2023-09-10,49.99,10294,Belgium,99.98
500283,P006,Noise Cancelling Headphones,5,2023-06-17,129.99,10300,Spain,649.95
500284,P002,Mechanical Keyboard,2,2023-10-10,79.99,10495,Spain,159.98
500285,P004,Laptop Stand,2,2023-07-13,29.99,10349,Italy,59.98
500286,P001,Wireless Mouse,5,2023-01-29,15.99,10364,Italy,79.95
500287,P003,USB-C Cable,5,2023-12-05,9.99,10277,Switzerland,49.95
500288,P002,Mechanical Keyboard,5,2023-11-17,79.99,10108,Spain,399.95
500289,P008,Bluetooth Speaker,4,2023-05-25,39.99,10094,Belgium,159.96
500290,P003,USB-C Cable,1,2023-10-28,9.99,10228,Italy,9.99
500291,P008,Bluetooth Speaker,4,2023-10-19,39.99,10427,Switzerland,159.96
500292,P002,Mechanical Keyboard,4,2023-10-02,79.99,10295,Belgium,319.96
500293,P007,Portable SSD,5,2023-12-30,99.99,10253,France,499.95
500294,P007,Portable SSD,3,2023-07-21,99.99,10143,Italy,299.96999999999997
500295,P008,Bluetooth Speaker,2,2023-01-19,39.99,10269,Netherlands,79.98
500296,P001,Wireless Mouse,3,2023-06-22,15.99,10069,United Kingdom,47.97
500297,P008,Bluetooth Speaker,5,2023-08-30,39.99,10084,Italy,199.95000000000002
500298,P004,Laptop Stand,4,2023-05-06,29.99,10462,United Kingdom,119.96
500299,P001,Wireless Mouse,2,2023-05-28,15.99,10267,France,31.98
500300,P006,Noise Cancelling Headphones,4,2023-11-13,129.99,10246,France,519.96
500301,P008,Bluetooth Speaker,1,2023-01-01,39.99,10218,France,39.99
500302,P005,Webcam,3,2023-12-14,49.99,10297,Switzerland,149.97
500303,P005,Webcam,1,2023-07-10,49.99,10237,United Kingdom,49.99
500304,P003,USB-C Cable,4,2023-11-08,9.99,10068,Belgium,39.96
500305,P004,Laptop Stand,1,2023-04-27,29.99,10057,Netherlands,29.99
500306,P003,USB-C Cable,2,2023-02-13,9.99,10253,Spain,19.98
500307,P007,Portable SSD,5,2023-06-09,99.99,10345,United Kingdom,499.95
500308,P002,Mechanical Keyboard,5,2023-11-13,79.99,10098,France,399.95
500309,P002,Mechanical Keyboard,5,2023-03-21,79.99,10050,France,399.95
500310,P004,Laptop Stand,5,2023-07-22,29.99,10427,Germany,149.95
500311,P002,Mechanical Keyboard,4,2023-08-17,79.99,10497,Switzerland,319.96
500312,P007,Portable SSD,4,2023-08-15,99.99,10176,Switzerland,399.96
500313,P008,Bluetooth Speaker,3,2023-01-20,39.99,10101,Germany,119.97
500314,P007,Portable SSD,1,2023-02-16,99.99,10104,Belgium,99.99
500315,P004,Laptop Stand,1,2023-11-01,29.99,10118,Italy,29.99
500316,P004,Laptop Stand,1,2023-02-23,29.99,10264,France,29.99
500317,P008,Bluetooth Speaker,3,2023-05-24,39.99,10443,Italy,119.97
500318,P008,Bluetooth Speaker,1,2023-01-12,39.99,10339,Netherlands,39.99
500319,P001,Wireless Mouse,2,2023-08-12,15.99,10429,Germany,31.98
500320,P008,Bluetooth Speaker,4,2023-06-05,39.99,10088,United Kingdom,159.96
500321,P005,Webcam,5,2023-01-08,49.99,10040,France,249.95000000000002
500322,P003,USB-C Cable,2,2023-12-14,9.99,10325,United Kingdom,19.98
500323,P005,Webcam,4,2023-03-31,49.99,10097,Spain,199.96
500324,P004,Laptop Stand,2,2023-11-12,29.99,10308,Italy,59.98
500325,P004,Laptop Stand,2,2023-01-28,29.99,10353,Netherlands,59.98
500326,P006,Noise Cancelling Headphones,4,2023-12-23,129.99,10255,Switzerland,519.96
500327,P008,Bluetooth Speaker,1,2023-08-16,39.99,10361,Italy,39.99
500328,P001,Wireless Mouse,3,2023-05-25,15.99,10447,Switzerland,47.97
500329,P002,Mechanical Keyboard,1,2023-07-31,79.99,10217,Netherlands,79.99
500330,P006,Noise Cancelling Headphones,5,2023-08-08,129.99,10206,United Kingdom,649.95
500331,P005,Webcam,5,2023-02-15,49.99,10371,Italy,249.95000000000002
500332,P001,Wireless Mouse,3,2023-09-10,15.99,10090,Netherlands,47.97
500333,P001,Wireless Mouse,2,2023-09-13,15.99,10372,Belgium,31.98
500334,P002,Mechanical Keyboard,5,2023-10-30,79.99,10038,Italy,399.95
500335,P007,Portable SSD,1,2023-01-10,99.99,10117,Italy,99.99
500336,P007,Portable SSD,2,2023-09-08,99.99,10394,Switzerland,199.98
500337,P003,USB-C Cable,5,2023-01-05,9.99,10383,United Kingdom,49.95
500338,P005,Webcam,1,2023-03-06,49.99,10477,France,49.99
500339,P008,Bluetooth Speaker,2,2023-08-12,39.99,10337,Switzerland,79.98
500340,P003,USB-C Cable,1,2023-09-24,9.99,10325,Netherlands,9.99
500341,P008,Bluetooth Speaker,5,2023-10-09,39.99,10230,France,199.95000000000002
500342,P006,Noise Cancelling Headphones,1,2023-12-08,129.99,10244,France,129.99
500343,P004,Laptop Stand,3,2023-10-10,29.99,10276,Netherlands,89.97
